date,nav_regular_growth,nav_direct_growth
2023-10-12,15.2776,15.9886
2023-10-13,15.2833,15.9950
2023-10-16,15.2893,16.0023
2023-10-17,15.3146,16.0291
2023-10-18,15.2854,15.9989
2023-10-19,15.2739,15.9872
2023-10-20,15.2419,15.9541
2023-10-23,15.1766,15.8868
2023-10-25,15.1437,15.8531
2023-10-26,15.0822,15.7890
2023-10-27,15.1495,15.8598
2023-10-30,15.1751,15.8877
2023-10-31,15.1567,15.8688
2023-11-01,15.1358,15.8473
2023-11-02,15.1848,15.8989
2023-11-03,15.2219,15.9381
2023-11-06,15.2724,15.9920
2023-11-07,15.2869,16.0076
2023-11-08,15.3049,16.0268
2023-11-09,15.3042,16.0264
2023-11-10,15.3111,16.0340
2023-11-13,15.3378,16.0630
2023-11-15,15.4089,16.1382
2023-11-16,15.4288,16.1594
2023-11-17,15.4289,16.1599
2023-11-20,15.4228,16.1545
2023-11-21,15.4465,16.1797
2023-11-22,15.4542,16.1882
2023-11-23,15.4532,16.1875
2023-11-24,15.4547,16.1894
2023-11-28,15.4788,16.2160
2023-11-29,15.5495,16.2905
2023-11-30,15.5626,16.3046
2023-12-01,15.5951,16.3390
2023-12-04,15.7316,16.4832
2023-12-05,15.7675,16.5211
2023-12-06,15.7777,16.5322
2023-12-07,15.7651,16.5193
2023-12-08,15.7827,16.5381
2023-12-11,15.7955,16.5526
2023-12-12,15.7573,16.5130
2023-12-13,15.7919,16.5496
2023-12-14,15.8704,16.6322
2023-12-15,15.9469,16.7128
2023-12-18,15.9383,16.7049
2023-12-19,15.9515,16.7191
2023-12-20,15.8661,16.6300
2023-12-21,15.8927,16.6582
2023-12-22,15.9243,16.6917
2023-12-26,15.9612,16.7318
2023-12-27,16.0197,16.7935
2023-12-28,16.0751,16.8520
2023-12-29,16.0625,16.8392
2024-01-01,16.0620,16.8397
2024-01-02,16.0374,16.8143
2024-01-03,16.0179,16.7943
2024-01-04,16.0576,16.8363
2024-01-05,16.0746,16.8545
2024-01-08,16.0446,16.8242
2024-01-09,16.0688,16.8499
2024-01-10,16.0893,16.8717
2024-01-11,16.1052,16.8888
2024-01-12,16.1714,16.9586
2024-01-15,16.2428,17.0346
2024-01-16,16.2261,17.0175
2024-01-17,16.1099,16.8960
2024-01-18,16.0841,16.8693
2024-01-19,16.1357,16.9238
2024-01-23,16.0594,16.8452
2024-01-24,16.1085,16.8971
2024-01-25,16.1058,16.8947
2024-01-29,16.2146,17.0103
2024-01-30,16.1765,16.9707
2024-01-31,16.2323,17.0296
2024-02-01,16.2418,17.0400
2024-02-02,16.2733,17.0735
2024-02-05,16.2705,17.0717
2024-02-06,16.2913,17.0938
2024-02-07,16.2920,17.0949
2024-02-08,16.2436,17.0445
2024-02-09,16.2516,17.0533
2024-02-12,16.1996,16.9998
2024-02-13,16.2229,17.0247
2024-02-14,16.2539,17.0576
2024-02-15,16.2854,17.0911
2024-02-16,16.3284,17.1366
2024-02-19,16.3520,17.1625
2024-02-20,16.3907,17.2035
2024-02-21,16.3629,17.1747
2024-02-22,16.4018,17.2158
2024-02-23,16.3956,17.2098
2024-02-26,16.3833,17.1980
2024-02-27,16.4118,17.2283
2024-02-28,16.3532,17.1672
2024-02-29,16.3598,17.1741
2024-03-01,16.4581,17.2776
2024-03-04,16.4805,17.3023
2024-03-05,16.4858,17.3083
2024-03-06,16.5114,17.3356
2024-03-07,16.5169,17.3417
2024-03-11,16.4842,17.3089
2024-03-12,16.4665,17.2907
2024-03-13,16.4041,17.2256
2024-03-14,16.4397,17.2633
2024-03-15,16.4107,17.2333
2024-03-18,16.4269,17.2514
2024-03-19,16.3810,17.2036
2024-03-20,16.3900,17.2134
2024-03-21,16.4339,17.2599
2024-03-22,16.4489,17.2761
2024-03-26,16.4455,17.2740
2024-03-27,16.4793,17.3099
2024-03-28,16.5361,17.3700
2024-03-31,16.5369,17.3719
2024-04-01,16.5630,17.3998
2024-04-02,16.5499,17.3864
2024-04-03,16.5568,17.3941
2024-04-04,16.5777,17.4164
2024-04-05,16.5774,17.4164
2024-04-08,16.6238,17.4663
2024-04-09,16.6312,17.4745
2024-04-10,16.6716,17.5173
2024-04-12,16.6079,17.4530
2024-04-15,16.5712,17.4157
2024-04-16,16.5493,17.3930
2024-04-18,16.5365,17.3803
2024-04-19,16.5629,17.4085
2024-04-22,16.5993,17.4479
2024-04-23,16.6299,17.4804
2024-04-24,16.6408,17.4923
2024-04-25,16.6625,17.5154
2024-04-26,16.6420,17.4943
2024-04-29,16.6934,17.5495
2024-04-30,16.7028,17.5597
2024-05-02,16.7059,17.5638
2024-05-03,16.6885,17.5459
2024-05-06,16.6974,17.5564
2024-05-07,16.6634,17.5211
2024-05-08,16.6632,17.5212
2024-05-09,16.6160,17.4720
2024-05-10,16.6563,17.5147
2024-05-13,16.6601,17.5199
2024-05-14,16.6881,17.5497
2024-05-15,16.7070,17.5701
2024-05-16,16.7549,17.6208
2024-05-17,16.7866,17.6545
2024-05-21,16.7968,17.6668
2024-05-22,16.8172,17.6886
2024-05-23,16.8838,17.7591
2024-05-24,16.8705,17.7455
2024-05-27,16.8616,17.7374
2024-05-28,16.8477,17.7231
2024-05-29,16.8137,17.6877
2024-05-30,16.8060,17.6800
2024-05-31,16.8095,17.6841
2024-06-03,16.9602,17.8438
2024-06-04,16.7153,17.5865
2024-06-05,16.8788,17.7590
2024-06-06,16.9164,17.7989
2024-06-07,17.0159,17.9040
2024-06-10,17.0200,17.9095
2024-06-11,17.0106,17.9001
2024-06-12,17.0164,17.9065
2024-06-13,17.0387,17.9304
2024-06-14,17.0554,17.9483
2024-06-18,17.0721,17.9675
2024-06-19,17.0680,17.9637
2024-06-20,17.0857,17.9827
2024-06-21,17.0915,17.9891
2024-06-24,17.0965,17.9956
2024-06-25,17.1204,18.0212
2024-06-26,17.1321,18.0339
2024-06-27,17.1696,18.0738
2024-06-28,17.1583,18.0622
2024-07-01,17.1888,18.0956
2024-07-02,17.1912,18.0986
2024-07-03,17.2288,18.1385
2024-07-04,17.2502,18.1614
2024-07-05,17.2665,18.1790
2024-07-08,17.2778,18.1922
2024-07-09,17.3017,18.2177
2024-07-10,17.2918,18.2078
2024-07-11,17.2929,18.2094
2024-07-12,17.3341,18.2533
2024-07-15,17.3528,18.2745
2024-07-16,17.3699,18.2930
2024-07-18,17.4033,18.3292
2024-07-19,17.3692,18.2937
2024-07-22,17.3709,18.2969
2024-07-23,17.3764,18.3033
2024-07-24,17.3721,18.2992
2024-07-25,17.3884,18.3169
2024-07-26,17.4663,18.3995
2024-07-29,17.4705,18.4053
2024-07-30,17.4634,18.3984
2024-07-31,17.4822,18.4186
2024-08-01,17.5029,18.4410
2024-08-02,17.4633,18.3997
2024-08-05,17.3555,18.2876
2024-08-06,17.3394,18.2712
2024-08-07,17.4018,18.3374
2024-08-08,17.3851,18.3203
2024-08-09,17.4138,18.3511
2024-08-12,17.4286,18.3681
2024-08-13,17.3976,18.3360
2024-08-14,17.3993,18.3382
2024-08-16,17.4677,18.4113
2024-08-19,17.4776,18.4232
2024-08-20,17.5108,18.4587
2024-08-21,17.5231,18.4722
2024-08-22,17.5424,18.4931
2024-08-23,17.5469,18.4982
2024-08-26,17.5807,18.5354
2024-08-27,17.5892,18.5448
2024-08-28,17.6118,18.5692
2024-08-29,17.6087,18.5664
2024-08-30,17.6282,18.5874
2024-09-02,17.6491,18.6109
2024-09-03,17.6455,18.6076
2024-09-04,17.6314,18.5933
2024-09-05,17.6201,18.5819
2024-09-06,17.5801,18.5401
2024-09-09,17.5944,18.5564
2024-09-10,17.6113,18.5747
2024-09-11,17.5993,18.5625
2024-09-12,17.6959,18.6648
2024-09-13,17.6968,18.6662
2024-09-16,17.6949,18.6655
2024-09-17,17.7091,18.6809
2024-09-18,17.7006,18.6724
2024-09-19,17.6906,18.6623
2024-09-20,17.7540,18.7295
2024-09-23,17.7831,18.7616
2024-09-24,17.7785,18.7572
2024-09-25,17.8096,18.7905
2024-09-26,17.8490,18.8325
2024-09-27,17.8289,18.8116
2024-09-30,17.7842,18.7658
2024-10-01,17.7898,18.7722
2024-10-03,17.6960,18.6740
2024-10-04,17.6615,18.6380
2024-10-07,17.6171,18.5925
2024-10-08,17.6608,18.6391
2024-10-09,17.6783,18.6580
2024-10-10,17.6853,18.6659
2024-10-11,17.6877,18.6688
2024-10-14,17.7233,18.7077
2024-10-15,17.7176,18.7021
2024-10-16,17.6962,18.6799
2024-10-17,17.6464,18.6278
2024-10-18,17.6608,18.6434
2024-10-21,17.6523,18.6357
2024-10-22,17.5889,18.5693
2024-10-23,17.5871,18.5678
2024-10-24,17.5797,18.5604
2024-10-25,17.5071,18.4842
2024-10-28,17.5244,18.5037
2024-10-29,17.5424,18.5232
2024-10-30,17.5054,18.4845
2024-10-31,17.4853,18.4638
2024-11-04,17.4635,18.4425
2024-11-05,17.5174,18.4998
2024-11-06,17.5562,18.5412
2024-11-07,17.5044,18.4870
2024-11-08,17.5055,18.4885
2024-11-11,17.5147,18.4995
2024-11-12,17.4620,18.4443
2024-11-13,17.3967,18.3758
2024-11-14,17.3958,18.3752
2024-11-18,17.3869,18.3675
2024-11-19,17.4163,18.3990
2024-11-21,17.4002,18.3829
2024-11-22,17.5015,18.4903
2024-11-25,17.5547,18.5479
2024-11-26,17.5466,18.5397
2024-11-27,17.5557,18.5497
2024-11-28,17.4883,18.4790
2024-11-29,17.5391,18.5331
2024-12-02,17.5840,18.5818
2024-12-03,17.6291,18.6299
2024-12-04,17.6354,18.6370
2024-12-05,17.6761,18.6804
2024-12-06,17.6625,18.6666
2024-12-09,17.6680,18.6739
2024-12-10,17.6750,18.6818
2024-12-11,17.6824,18.6901
2024-12-12,17.6647,18.6719
2024-12-13,17.7142,18.7247
2024-12-16,17.7045,18.7159
2024-12-17,17.6293,18.6369
2024-12-18,17.6144,18.6216
2024-12-19,17.5725,18.5778
2024-12-20,17.5095,18.5117
2024-12-23,17.5462,18.5520
2024-12-24,17.5369,18.5427
2024-12-26,17.5495,18.5569
2024-12-27,17.5589,18.5674
2024-12-30,17.5208,18.5285
2024-12-31,17.5367,18.5459
2025-01-01,17.5576,18.5686
2025-01-02,17.6614,18.6788
2025-01-03,17.6321,18.6484
2025-01-06,17.5561,18.5696
2025-01-07,17.5725,18.5875
2025-01-08,17.5670,18.5823
2025-01-09,17.5324,18.5461
2025-01-10,17.5086,18.5215
2025-01-13,17.4041,18.4125
2025-01-14,17.4290,18.4394
2025-01-15,17.4577,18.4703
2025-01-16,17.4995,18.5151
2025-01-17,17.4722,18.4867
2025-01-20,17.5226,18.5417
2025-01-21,17.4634,18.4795
2025-01-22,17.4934,18.5118
2025-01-23,17.5145,18.5347
2025-01-24,17.4983,18.5181
2025-01-27,17.4246,18.4417
2025-01-28,17.4519,18.4711
2025-01-29,17.5069,18.5299
2025-01-30,17.5251,18.5496
2025-01-31,17.6027,18.6323
2025-02-03,17.5889,18.6193
2025-02-04,17.6771,18.7132
2025-02-05,17.6870,18.7243
2025-02-06,17.6755,18.7126
2025-02-07,17.6726,18.7101
2025-02-10,17.6085,18.6438
2025-02-11,17.5301,18.5613
2025-02-12,17.5216,18.5528
2025-02-13,17.5280,18.5602
2025-02-14,17.4799,18.5098
2025-02-17,17.5001,18.5328
2025-02-18,17.5171,18.5513
2025-02-19,17.5166,18.5514
2025-02-20,17.5265,18.5623
2025-02-21,17.4910,18.5252
2025-02-24,17.4317,18.4640
2025-02-25,17.4216,18.4539
2025-02-27,17.4198,18.4530
2025-02-28,17.3047,18.3317
2025-03-03,17.3243,18.3540
2025-03-04,17.3119,18.3414
2025-03-05,17.3844,18.4188
2025-03-06,17.4438,18.4823
2025-03-07,17.4187,18.4564
2025-03-10,17.3910,18.4289
2025-03-11,17.3710,18.4083
2025-03-12,17.3751,18.4132
2025-03-13,17.3536,18.3911
2025-03-17,17.3907,18.4329
2025-03-18,17.4799,18.5281
2025-03-19,17.5212,18.5724
2025-03-20,17.5990,18.6555
2025-03-21,17.6503,18.7105
2025-03-24,17.7203,18.7866
2025-03-25,17.7050,18.7710
