date,nav_regular_growth,nav_direct_growth
2023-08-22,56.4604,60.7055
2023-08-23,56.7982,61.07
2023-08-24,56.4997,60.7503
2023-08-25,56.2746,60.5096
2023-08-28,56.5636,60.8243
2023-08-29,56.8668,61.1517
2023-08-30,56.9526,61.2453
2023-08-31,57.0238,61.3231
2023-09-01,57.4824,61.8175
2023-09-04,57.8082,62.1717
2023-09-05,58.0475,62.4303
2023-09-06,57.9923,62.3722
2023-09-07,58.4031,62.8153
2023-09-08,58.6558,63.0884
2023-09-11,59.2795,63.7631
2023-09-12,58.7637,63.2095
2023-09-13,59.1141,63.5877
2023-09-14,59.3609,63.8545
2023-09-15,59.2966,63.7866
2023-09-18,59.3769,63.8768
2023-09-20,58.8698,63.3339
2023-09-21,58.3081,62.7308
2023-09-22,58.1763,62.5902
2023-09-25,58.3081,62.7359
2023-09-26,58.1024,62.5158
2023-09-27,58.3336,62.7658
2023-09-29,58.4003,62.8402
2023-10-03,58.0742,62.4944
2023-10-04,57.7747,62.1734
2023-10-05,57.8505,62.2562
2023-10-06,58.3041,62.7456
2023-10-09,58.1622,62.5967
2023-10-10,58.6953,63.1718
2023-10-11,59.0255,63.5284
2023-10-12,59.1787,63.6946
2023-10-13,59.0213,63.5264
2023-10-16,59.3627,63.8978
2023-10-17,59.6496,64.2079
2023-10-18,59.2707,63.8014
2023-10-19,59.1338,63.6554
2023-10-20,58.7952,63.2921
2023-10-23,58.3592,62.8266
2023-10-25,57.8327,62.2623
2023-10-26,57.1817,61.5627
2023-10-27,57.9218,62.3608
2023-10-30,58.2455,62.7132
2023-10-31,58.3317,62.8072
2023-11-01,58.2488,62.7192
2023-11-02,58.5975,63.0959
2023-11-03,58.9819,63.5111
2023-11-06,59.4696,64.0403
2023-11-07,59.6967,64.2861
2023-11-08,59.8817,64.4866
2023-11-09,59.8387,64.4416
2023-11-10,60.2656,64.9027
2023-11-13,60.7116,65.387
2023-11-15,61.22,65.9372
2023-11-16,61.3494,66.0779
2023-11-17,61.2987,66.0247
2023-11-20,61.2833,66.0121
2023-11-21,61.3362,66.0704
2023-11-22,61.4907,66.2382
2023-11-23,61.6046,66.3622
2023-11-24,61.594,66.3522
2023-11-28,61.8665,66.6512
2023-11-29,62.1441,66.9516
2023-11-30,62.194,67.0067
2023-12-01,62.353,67.1793
2023-12-04,63.0933,67.9811
2023-12-05,63.41,68.3237
2023-12-06,63.469,68.3887
2023-12-07,64.0269,68.9912
2023-12-08,63.9917,68.9547
2023-12-11,63.824,68.7782
2023-12-12,63.7646,68.7156
2023-12-13,64.1641,69.1475
2023-12-14,64.4362,69.4422
2023-12-15,64.5685,69.5862
2023-12-18,64.5905,69.6142
2023-12-19,64.8023,69.8439
2023-12-21,64.2742,69.2775
2023-12-22,64.5766,69.6049
2023-12-26,64.7852,69.8354
2023-12-27,64.9827,70.0497
2023-12-28,65.2621,70.3524
2023-12-29,65.1598,70.2435
2024-01-01,65.3586,70.4621
2024-01-02,65.2327,70.3278
2024-01-03,65.1372,70.2262
2024-01-04,65.3502,70.4573
2024-01-05,65.3794,70.4903
2024-01-08,65.2376,70.3416
2024-01-09,65.432,70.5527
2024-01-10,65.6499,70.7891
2024-01-11,65.8781,71.0366
2024-01-12,66.1014,71.2789
2024-01-15,66.6342,71.8577
2024-01-16,66.4141,71.6219
2024-01-17,65.3992,70.5289
2024-01-18,65.2289,70.3466
2024-01-19,66.1255,71.315
2024-01-23,65.3332,70.4662
2024-01-24,66.1892,71.391
2024-01-25,66.0168,71.2065
2024-01-29,66.905,72.1704
2024-01-30,66.4775,71.7106
2024-01-31,66.7209,71.9746
2024-02-01,67.2385,72.5346
2024-02-02,68.3697,73.7564
2024-02-05,68.3088,73.6952
2024-02-06,68.6664,74.0825
2024-02-07,68.894,74.3294
2024-02-08,68.769,74.1961
2024-02-09,68.8453,74.2799
2024-02-12,68.0946,73.4745
2024-02-13,68.3488,73.7502
2024-02-14,68.9171,74.365
